modelo,epsilon,seed,rep,Accuracy,F1-Score
Naive Bayes (Gaussian),5.0,13121,12,0.588139309571159,0.5832770143667076
Naive Bayes (Gaussian),5.0,17171,13,0.5909438580388557,0.5677916768336667
Naive Bayes (Gaussian),5.0,19273,14,0.5720768956198052,0.5724881683851187
Naive Bayes (Gaussian),5.0,23131,15,0.5653459792973331,0.5639496357499989
Naive Bayes (Gaussian),5.0,29327,16,0.5573912600071389,0.5534146290209949
Naive Bayes (Gaussian),5.0,31193,17,0.5652439957166896,0.5655355280867665
Naive Bayes (Gaussian),5.0,33391,18,0.5724338381520575,0.572914642244439
Naive Bayes (Gaussian),5.0,37397,19,0.5771760746519811,0.5751046449121509
Naive Bayes (Gaussian),10.0,42,0,0.5594309316200092,0.5553993691390199
Naive Bayes (Gaussian),10.0,137,1,0.5743715261842843,0.574067960105241
Naive Bayes (Gaussian),10.0,271,2,0.5703431747488654,0.5686680361694361
Naive Bayes (Gaussian),10.0,314,3,0.5867115394421498,0.5836313428173353
Naive Bayes (Gaussian),10.0,1729,4,0.5942073326194482,0.5859172610734299
Naive Bayes (Gaussian),10.0,2718,5,0.582020294732548,0.5797703094838936
Naive Bayes (Gaussian),10.0,3141,6,0.5837030238131661,0.5839141590431464
Naive Bayes (Gaussian),10.0,6022,7,0.5878333588292285,0.5878517199300045
Naive Bayes (Gaussian),10.0,8128,8,0.5853857528937841,0.5847424690075328
Naive Bayes (Gaussian),10.0,9999,9,0.5852327775228189,0.5842350016993217
Naive Bayes (Gaussian),10.0,10007,10,0.5939013818775177,0.5910714315658768
Naive Bayes (Gaussian),10.0,11113,11,0.5850288103615318,0.5840305438688321
Naive Bayes (Gaussian),10.0,13121,12,0.587527408087298,0.5873754104992436
Naive Bayes (Gaussian),10.0,17171,13,0.5951251848452399,0.5818427867158801
Naive Bayes (Gaussian),10.0,19273,14,0.5607567181683749,0.5539939051817236
Naive Bayes (Gaussian),10.0,23131,15,0.5850288103615318,0.5846750541334673
Naive Bayes (Gaussian),10.0,29327,16,0.5838559991841313,0.5841413648593574
Naive Bayes (Gaussian),10.0,31193,17,0.5506603436846668,0.5400933890287766
Naive Bayes (Gaussian),10.0,33391,18,0.566212839732803,0.5630407258831556
Naive Bayes (Gaussian),10.0,37397,19,0.5905869155066035,0.5873273354501045
